date,state,avgLoans,totalLoans,avgTerm,avgIntRate,avgGrade,avgEmpLength,avgAnnualInc,avgVerifStatus,avgHomeOwner,avgOpenAcc,avgRevolBal,avgRevolUtil,avgTotalAcc,countOfLoans
2012-11-01,AK,14363.541666666666,344725,40,14.829583333333334,2.875,7.791666666666667,82117.33333333333,0.5833333333333334,0.08333333333333333,9,17925.625,74.04583333333333,22.416666666666668,24
2012-12-01,AK,15954.761904761905,670100,40.57142857142857,14.860238095238095,2.857142857142857,6.421052631578948,68028.45904761905,0.6428571428571429,0.11904761904761904,9.571428571428571,16484.880952380954,64.66666666666667,25.023809523809526,42
2013-01-01,AK,15201.666666666666,456050,39.2,14.231666666666666,2.7,6.172413793103448,69552.6,0.6333333333333333,0.13333333333333333,10.6,18868.5,72.84666666666666,24.466666666666665,30
2013-02-01,AK,13639.516129032258,422825,39.096774193548384,13.657419354838709,2.5806451612903225,6.166666666666667,80896.03225806452,0.6451612903225806,0.12903225806451613,9.96774193548387,22908.09677419355,69.84838709677419,21.806451612903224,31
2013-03-01,AK,18373.4375,587950,42,13.9703125,2.59375,6.586206896551724,75967.75,0.78125,0.0625,10.8125,19798.375,69.925,23.84375,32
2013-04-01,AK,15550.961538461539,404325,42.46153846153846,15.181923076923077,2.9615384615384617,6.32,75089.76923076923,0.7692307692307693,0.07692307692307693,10.5,17235.346153846152,69.60384615384615,23.076923076923077,26
2013-05-01,AK,17581.81818181818,386800,41.45454545454545,14.682272727272727,2.8181818181818183,6.380952380952381,79655.81818181818,0.6818181818181818,0,11,21349.727272727272,62.222727272727276,27.363636363636363,22
2013-06-01,AK,15896.794871794871,619975,41.53846153846154,14.526666666666666,2.923076923076923,7,70024.23076923077,0.6666666666666666,0.10256410256410256,10.692307692307692,17963.076923076922,61.18205128205128,22.871794871794872,39
2013-07-01,AK,18316.875,732675,44.4,15.769,3.25,6.9743589743589745,71010.362,0.775,0.05,10.5,17560.3,63.5175,23.25,40
2013-08-01,AK,14488.461538461539,376700,43.38461538461539,14.439230769230768,2.9615384615384617,6.64,67174.00538461539,0.8461538461538461,0.07692307692307693,8.576923076923077,11779.461538461539,62.07692307692308,22.076923076923077,26
2013-09-01,AK,15263.541666666666,366325,42,14.085,2.7916666666666665,5.583333333333333,66737,0.6666666666666666,0.08333333333333333,11,19203,63.516666666666666,24.833333333333332,24
2013-10-01,AK,16032.142857142857,448900,41.142857142857146,14.643214285714286,2.857142857142857,7.153846153846154,82086.32142857143,0.75,0.14285714285714285,11.964285714285714,18114.14285714286,62.05357142857143,27.285714285714285,28
2013-11-01,AK,18285.625,731425,44.4,15.37425,3.05,6.25,78533.625,0.825,0.05,10.675,15624.2,64.1125,23.75,40
2013-12-01,AK,17815.196078431374,908575,40.23529411764706,13.35156862745098,2.4901960784313726,6.901960784313726,75187.74509803922,0.803921568627451,0.09803921568627451,10.27450980392157,17552.901960784315,58.67843137254902,24.294117647058822,51
2014-01-01,AK,18327.777777777777,989700,43.111111111111114,14.963333333333333,3.0185185185185186,6.470588235294118,89584.31481481482,0.8333333333333334,0.16666666666666666,10.537037037037036,21986.185185185186,70.36296296296297,24,54
